# ----------------------------------------
# Business First Stop - GA4
# Untitled exploration-Free form 1
# 20230505-20260309
# ----------------------------------------

Session default channel group,Direct,Direct,Organic Search,Organic Search,Paid Search,Paid Search,Referral,Referral,Unassigned,Unassigned,Totals,Totals
/actions/tax-clearance-certificate-apply,5394,3638,1890,1363,1020,805,904,584,962,853,10244,7027
/tasks/insurance-for-nj,4097,3330,2361,1892,147,138,1486,1144,841,789,8863,6830
/certification/mwbe,3187,2411,2527,1719,1105,848,1710,1200,1041,943,9863,6812
/pages/exporting,1277,1163,1729,1359,3267,2754,520,408,46,45,8801,7268
/pages/open-another-location,1159,1008,2114,1511,4097,3724,761,531,74,69,8580,6929
/bags/plastic-ban-law,2248,1849,4522,3687,602,519,750,583,41,40,8628,6941
/route-80-business-assistance-grant-program/,6517,5872,1202,676,0,0,394,216,24,22,8221,6792
/new-jersey-innovation-fellows-program/,3053,2413,1919,1266,0,0,394,263,77,56,8874,6641
/starter-kits/online-business,1684,1412,4413,3598,515,461,1207,1000,136,133,7980,6507
/film/,2374,1913,5206,3305,0,0,2174,1359,31,12,9740,6298
/starter-kits/recreational-cannabis,4582,3735,2046,1648,136,108,1164,982,78,76,8039,6473
/filings/annual-report,4297,3313,1638,1313,600,466,684,540,835,755,8151,6068
/aspire/,2530,2011,6163,4039,0,0,478,366,16,16,9169,6272
/pages/prepare-loan-application,1972,1626,1684,1386,2549,2298,663,507,100,95,7584,6362
/starter-kits/restaurant-and-catering,1324,1025,4839,3713,379,273,1359,1077,50,48,7998,6101
/recent/new-rules-for-reporting-who-owns-your-business,1228,1055,913,785,215,190,51,41,26,25,7966,5988
/covid/en/articles/3789809,5998,5932,0,0,0,0,0,0,0,0,5998,5932
/public_information/,4086,3182,2795,2034,0,0,532,374,52,50,7452,5585
/pages/manage-employees,2875,2589,1234,1048,1450,1373,659,563,51,51,6351,5655
/csit/,4125,3924,2376,1502,0,0,224,176,3,2,6758,5558
/es/pages/limited-liability-company-llc,1742,1576,4003,3591,129,126,153,135,32,32,6037,5429
/pages/paying-taxes,4950,4121,402,291,203,163,964,838,14,14,6559,5373
/njzip/,3289,2349,3933,2275,0,0,932,716,33,25,8354,5230
/njeda-now-accepting-applications-for-next-nj-program-ai/,252,238,72,63,0,0,5581,5023,13,10,5951,5345
/tasks/town-mercantile-license,2768,2551,1130,945,295,260,1226,962,513,490,5941,4995
/recent/funding-opportunities-for-faith-based-and-community-organizations,1171,931,830,662,183,164,224,188,98,87,6560,5200
/applications-for-njedas-feed-nj-program-now-open/,758,621,398,323,0,0,4076,3761,25,22,5735,5178
/starter-kits/non-medical-transport,956,701,4431,3390,123,99,1122,868,71,65,6813,5050
/feednj/,4837,3559,1960,917,0,0,767,453,83,73,7907,4942
/cafe/,3779,3039,3213,1473,0,0,390,202,26,19,7645,4779
/tasks/employer-requirements,3272,2467,1554,1159,88,79,766,568,481,444,6155,4379
/art-phase-ii/,4427,3368,1716,810,0,0,593,426,13,11,6873,4607
/tasks/site-requirements,1609,1391,1245,1064,389,338,1475,1215,596,570,5369,4341
/emerging-developers/,3710,3092,912,604,0,0,814,653,41,16,5653,4422
/tasks/sign-lease,1447,1335,1125,1028,355,332,1313,1143,568,549,4879,4205
/faqs/what-are-new-jerseys-principal-industries,385,323,4101,3331,10,9,747,611,15,14,5235,4254
/pages/sole-proprietorship,858,767,3592,3073,129,113,194,160,145,146,4887,4190
/njeda-opens-applications-for-esop-assistance-program/,292,289,36,29,0,0,4445,3929,2,2,4779,4251
/event/webinar-route-80-business-assistance-grant-informational-evening-sessoin/,4292,4195,28,25,0,0,27,22,9,5,4358,4246
/tasks/zoning-permit-approval,1392,1274,1124,1013,346,315,1196,1042,524,506,4605,3975
/tasks/manage-business-vehicles,1446,1283,1288,1119,771,686,1370,971,37,35,5002,3960
/event/35679/,4237,4135,21,12,0,0,17,10,5,4,4297,4165
/starter-kits/homemaker-home-health-aide,502,418,3488,3046,77,65,608,518,47,39,4789,4069
/pages/leasing-tips,1153,1048,1702,1513,969,882,542,441,60,61,4412,3971
/funding/small-business-improvement,1304,1101,775,671,417,365,283,246,1828,1527,4704,3891
/historic-property-reinvestment-program/,1328,1119,2924,2334,0,0,224,170,7,4,4855,3892
/angeltaxcredit/,2261,1824,2338,1608,0,0,525,409,12,10,5241,3818
/mvp3/,4074,3143,1030,542,0,0,218,115,19,17,5426,3790
/njcool/,1662,1285,2707,1931,0,0,181,133,16,14,5066,3633
/starter-kits/employment-agency,504,408,3247,2486,94,75,738,596,29,26,4634,3555
/recent/new-jersey-s-corporation-elections-have-been-eliminated,513,437,2403,2006,32,31,1226,996,7,7,4225,3473
/recent/employers-must-report-all-worker-separations-through-online-portal,1809,1259,2681,1785,42,39,585,353,25,21,5271,3318
/recent/new-jersey-liquor-license-transfer-a-guide-for-license-holders,639,536,2049,1658,64,63,579,466,29,29,4244,3449
/economicrecoveryact/,1671,1491,2006,1773,0,0,171,137,13,11,3906,3407
/activeprograms/,2708,1939,1631,1127,0,0,383,251,40,28,4880,3341
/tasks/site-safety-permits,1248,1104,920,797,251,224,960,816,458,441,3883,3233
/es/licensing-and-certification-guide,694,594,2615,2226,334,305,197,170,41,39,3904,3319
/njbc/,678,574,2975,2551,0,0,102,78,6,6,3818,3205
/funding/small-business-lease,962,848,535,463,361,338,231,206,1420,1270,3590,3105
/es/pages/filings-and-accounting,351,306,2811,2322,27,26,581,495,17,15,3808,3154
/tasks/hic-license,1841,1016,1362,676,731,298,2606,781,415,336,7111,2608
/funding/small-business-fund,918,819,494,444,335,302,250,223,1475,1294,3495,3051
/tasks/nonprofit-business-plan,1428,1204,754,654,431,348,409,320,598,560,3717,2918
/small-business-e-commerce-support-program/,2371,1826,1104,675,0,0,528,403,25,21,4155,3067
/covid/en/collections/2198378-information-for-nj-businesses-on-the-coronavirus-outbreak,2949,2914,14,14,3,3,119,110,9,6,3076,3052
/thank-you,980,973,1087,1055,235,228,956,661,16,16,3306,2607
/certification/esbe,1114,991,698,615,274,246,708,573,460,439,3341,2817
/child-care-improvement-program/,1505,1096,1689,1285,0,0,695,555,25,15,3930,2900
/internship-program/,2052,1730,1302,1004,0,0,140,117,33,29,3583,2877
/njeda-plans-to-launch-program-supporting-liquor-license-acquisition-for-small-businesses/,2466,2207,288,253,0,0,370,288,13,3,3242,2894
/realestate/,1874,1619,1239,1017,0,0,259,210,24,21,3411,2859
/starter-kits/home-improvement-contractor,854,745,1709,1382,392,316,394,333,35,33,3384,2789
/green-workforce-grant/,1909,1500,824,487,0,0,777,633,8,5,3554,2612
/evergreen/,1580,1257,1923,1159,0,0,309,210,6,5,3767,2595
/es/pages/government-contracting,321,288,963,709,1343,1258,278,242,28,25,3065,2616
/recent/no-action-required-for-new-filing-requirement,818,637,1722,1423,174,163,28,24,15,12,2986,2463
/recent/new-requirements-for-temporary-help-service-firms-and-their-clients,405,327,2433,1709,84,78,410,315,16,13,3454,2430
/strategic-industry-support/,1725,1394,1110,852,0,0,217,170,14,13,3091,2411
/starter-kits/trucking,483,438,1595,1378,106,97,524,445,47,43,2795,2401
/njeda-to-open-applications-for-manufacturing-voucher-program-phase-iii/,110,86,32,27,0,0,2412,2244,3,2,2593,2394
/tasks/nonprofit-business-trustees,1070,912,564,487,265,235,357,280,428,410,2689,2163
/actions/state-contracting,1004,815,545,405,412,349,432,333,352,334,2853,2190
/njeda-to-open-applications-for-apprenticeship-training-centers-construction-grant-program/,258,225,69,60,0,0,2424,2010,5,5,2763,2304
/cannabis-equity-grant-program/,1128,1051,1243,1058,0,0,42,35,4,3,2434,2146
/njesp/,1300,1058,725,534,0,0,617,459,16,11,2742,2090
/tasks/cannabis-evaluate-location,1186,1019,560,473,114,91,314,236,283,267,2479,1961
/tasks/resale-tax-certificate-operating,798,651,708,566,420,343,676,431,23,21,2695,1929
/njaccelerate/,1245,1127,1006,685,0,0,219,161,14,10,2538,1989
/recent/hiring-process-for-teens-is-going-digital,538,492,1023,874,56,50,531,462,8,8,2308,2020
/interested-in-applying/,1512,1065,1015,722,0,0,291,201,19,18,2829,1970
/new-jersey-film-works-grant-program/,1704,1163,1011,460,0,0,144,87,22,20,3232,1932
/recent/apply-for-working-capital-loans,835,769,394,360,132,127,221,206,26,25,2142,1967
/njmvp/,806,653,1480,1186,0,0,127,110,14,12,2457,1958
/event/2024-governors-conference-on-housing-and-economic-development/,182,153,2446,1789,0,0,24,22,4,1,2675,1979
/es/pages/business-names,260,219,1704,1410,130,120,232,197,31,25,2370,1934
/directloans/,1201,1067,702,489,0,0,486,394,7,7,2416,1945
/recent/important-tax-guidance-for-new-jersey-companies,909,864,690,639,88,75,267,223,10,10,2129,1954
/funding/the-small-business,543,493,318,291,196,181,203,173,823,760,2132,1891
/c-pace/,871,649,1684,1042,0,0,231,172,7,7,2839,1849
/pages/esbe-and-dbe-programs,368,337,1476,1147,196,132,312,251,9,8,2392,1865
/tasks/scorp-federal-designation,748,604,602,462,119,93,833,505,225,214,2539,1638
/funding/entrepreneur-support-program,690,612,386,341,149,140,113,106,782,670,2135,1857
/real-estate-gap/,1350,1084,739,562,0,0,140,117,23,20,2319,1811
/es/pages/licensing-and-certification-guide,141,117,1668,1469,53,51,207,171,41,32,2111,1833
/maternal-and-infant-health-innovation-center/,304,258,1344,1130,0,0,494,430,3,1,2141,1783
/recent/new-liability-insurance-requirements-for-business-owners-landlords,255,229,1681,1431,6,6,130,107,4,4,2113,1799
/es/pages/trademarks,217,187,1736,1413,30,21,168,139,21,18,2188,1782
/board/,1425,731,1861,933,0,0,97,55,9,5,3488,1656
/starter-kits/e-commerce,877,801,806,699,116,112,82,75,11,10,1907,1696
/funding/direct-loans,485,450,347,318,144,128,180,161,661,596,1860,1646
/atlantic-city-revitalization-grant-program-phase-two/,1472,1211,271,168,0,0,86,51,12,10,2120,1663
/nol/,1099,930,663,371,0,0,126,87,11,5,2206,1628
/recent/employer-rate-notices-now-paperless,1052,963,331,295,88,83,43,39,8,7,1815,1642
/recent/important-updates-to-employee-rights-under-new-jersey-warn-law,294,254,1554,1282,23,21,53,43,6,6,1963,1630
/governor-murphy-announces-njeda-grant-program-to-support-small-businesses-affected-by-the-route-80-shutdown/,533,459,347,293,0,0,159,125,6,6,1816,1600
/pages/business.nj.gov/pages/choose-a-business-structure,616,591,484,446,278,270,284,270,10,10,1697,1584
/tasks/building-permit,537,484,301,273,44,38,524,466,332,325,1758,1513
/pages/employer-identification-number,267,263,138,135,50,50,1229,1132,11,11,1700,1575
/stx/,168,164,1498,1404,0,0,30,25,0,0,1698,1590
/recent/new-jersey-eases-restrictions-for-breweries-and-craft-beverage-manufacturers,235,213,1243,1037,18,18,224,198,5,5,1849,1583
/njeda-now-accepting-applications-for-cafe-program/,323,297,212,182,0,0,1230,1103,5,2,1777,1586
/tasks/license-requirements-employment-agency,580,501,647,537,111,99,273,210,215,198,1846,1459
/recent/inactive-liquor-licenses-in-new-jersey-use-it-or-lose-it,437,409,817,696,50,46,350,311,9,8,1749,1542
/starter-kits/cannabis,951,720,1003,775,6,6,21,16,13,12,2004,1520
/njcapital-access-fund/,1038,828,717,520,0,0,143,99,19,16,1994,1507
/recent/receive-tax-credits-to-launch-an-apprenticeship-program,243,221,114,96,62,57,24,17,15,15,1807,1512
/tasks/cosmetology-location-eval,547,484,481,442,246,217,215,188,181,175,1688,1425
/recent/leniency-may-be-available-for-first-time-violators-of-some-rules-regulations,559,522,512,463,128,117,126,116,18,18,1682,1508
/njeda-board-designates-netflix-as-a-studio-partner-continuing-new-jerseys-film-industry-momentum/,134,119,1489,1329,0,0,46,36,2,1,1679,1491
/recent/small-businesses-can-apply-for-commercial-property-purchase-support,741,659,236,200,599,434,50,45,26,21,1790,1469
/press-room/,1180,876,748,479,0,0,206,99,15,13,2161,1448
/category/plan,1185,1098,169,155,92,87,131,120,17,17,1599,1471
/privacy-policy,685,642,391,347,236,219,170,134,22,21,1638,1453
/njcels/,830,666,699,506,0,0,89,68,8,6,1873,1439
/about/tim-sullivan/,484,447,1101,934,0,0,34,32,1,1,1623,1406
/recent/small-business-manual-available-for-free-download,542,507,243,218,263,239,147,135,11,10,1490,1349
/emerge/,826,697,824,531,0,0,159,128,2,2,1815,1328
/funding/njeda-aspire,279,246,988,800,25,24,184,141,158,137,1651,1349
/tasks/nonprofit-tax-exempt,654,477,299,228,135,105,671,356,191,175,1977,1163
/microbusinessloan/,757,468,730,649,0,0,249,212,19,17,1765,1348
/food-desert-relief-program/,375,319,1236,932,0,0,126,79,3,3,1757,1328
/local-property-acquisition-grant-program/,533,476,934,798,0,0,51,45,10,10,1537,1321
/tasks/env-permitting,441,382,413,362,237,226,406,325,19,8,1537,1261
/funding/nj-zero-emission,353,310,595,493,75,65,77,68,414,367,1534,1297
/license-and-copyright-notice,720,666,350,299,210,190,162,108,10,10,1498,1296
/funding/capital-access-fund,301,281,231,202,100,95,107,99,698,619,1464,1287
/category/operate,915,870,182,171,83,79,169,160,16,16,1366,1291
/njrise/,511,454,700,567,0,0,144,125,4,3,1518,1281
/clean-energy/,294,241,1205,972,0,0,86,69,1,1,1593,1277
/angelmatch/,736,648,670,505,0,0,125,98,9,8,1565,1262
/life-science/,388,308,1057,889,0,0,89,67,5,3,1547,1261
/tasks/transportation-entity-id,467,384,496,389,183,144,517,306,34,29,1709,1176
/navigator.business.nj.gov//,143,124,94,94,38,38,20,11,988,989,1285,1259
/recent/minimum-wage-increasing-to-15-49-per-hour-for-most-workers,139,134,1130,1029,13,11,25,25,4,4,1366,1254
/es/pages/permits-and-compliance,112,108,1102,956,26,25,147,132,10,10,1403,1233
/filings/st-50_450,1545,870,243,143,81,55,120,77,80,68,2097,1150
/grow/,138,119,1285,1082,0,0,25,21,8,4,1456,1217
/offshorewind/,294,237,1107,886,0,0,118,79,4,4,1532,1204
/pages/llp-lp,253,228,1080,887,41,35,55,43,17,17,1448,1202
/es/pages/prepare-loan-application,140,134,907,799,22,14,243,216,13,13,1357,1197
/strategic-innovation-centers/,644,567,674,436,0,0,211,168,2,2,1554,1175
/innovation-office-hours/,901,581,510,263,0,0,116,76,10,6,1874,1160
/starter-kits/home-contractor,490,434,702,626,51,47,53,47,31,30,1334,1183
/tasks/licenses-retail-search,406,349,358,310,144,130,311,240,164,154,1388,1105
/recent/developers-may-now-contract-with-private-inspectors-after-72-hour-window,540,506,589,518,19,16,135,122,7,7,1306,1178
/covid/en/articles/3838662-what-new-state-financial-support-programs-is-my-business-eligible-for-how-do-i-use-the-eligibility-wizard,1148,1150,2,1,0,0,7,7,0,0,1157,1158
/funding/main-st-micro,368,342,406,356,148,141,137,131,137,133,1241,1127
/angelvcfunding/,414,384,778,703,0,0,53,46,2,2,1262,1137
/njeda-board-approves-new-30m-loan-program/,534,485,238,176,0,0,431,352,3,3,1364,1140
/recent/restaurants-retail-personal-care-businesses-get-free-e-commerce-and-digital-marketing-services,476,444,354,298,155,135,103,94,20,18,1272,1129
/food-security-programs/,666,573,567,472,0,0,97,63,13,11,1366,1111
/es/pages/business-support,127,110,880,718,154,128,155,124,30,23,1375,1116
/events/,585,480,597,496,0,0,74,66,11,9,1353,1122
/njignite/,679,634,422,321,0,0,208,169,2,2,1315,1117
/nextnjai/,594,511,512,345,0,0,182,131,12,11,1446,1099
/asset-activation-planning-grant/,481,369,268,188,0,0,211,151,5,2,1417,1102
/newsletter-signup-thanks,482,483,224,223,106,105,164,137,15,15,1130,1050
/community-revitalization/,655,527,491,410,0,0,183,142,6,6,1345,1083
/es/recent,348,325,576,520,64,62,95,89,26,26,1171,1069
/made-in-nj-film-a-complete-unknown-commands-oscar-nominations/,98,91,986,935,0,0,54,48,2,2,1148,1083
/catalyst-voucher/,214,171,306,226,0,0,759,653,2,2,1285,1047
/category/grow,767,710,66,64,194,170,92,82,12,11,1139,1038
/recent/free-financial-technical-guidance-to-grow-your-business,487,433,163,132,157,147,79,65,13,13,1163,1025
/es/pages/closing-your-business,138,122,975,750,80,70,118,89,4,4,1316,1021
/njeda-to-open-applications-for-new-jersey-innovation-fellows-ai-cohort/,640,529,199,143,0,0,25,20,8,5,1300,1027
/filings/st-51_451,1014,618,353,195,78,60,137,75,69,59,1691,946
/incubator/,309,286,762,617,0,0,84,77,2,2,1198,1010
/starter-kits/restaurant,333,305,690,587,45,42,72,56,31,25,1178,1010
/recent/loan-guarantees-for-investors-in-innovation-focused-companies,542,476,137,117,179,164,136,121,12,12,1137,1006
/recent/watch-how-to-videos-for-your-business,405,376,233,209,37,34,92,74,21,21,1124,999
/brownfield-redevelopment-incentive/,433,367,683,489,0,0,158,118,7,6,1299,969
/tasks/healthcare-license,344,299,260,218,93,83,322,269,104,100,1140,904
/recent/register-for-employer-access-to-view-your-2026-ui-rates,574,517,348,306,75,67,49,42,9,6,1100,971
/impactreport,950,910,35,14,0,0,40,18,2,2,1099,965
/about/https-www-njeda-com-about-terry-otoole/,353,327,686,626,0,0,17,16,2,2,1060,963
/es/search,324,293,475,438,120,117,75,67,7,7,1050,956
/starter-kits/auto-body-repair,221,209,629,541,58,57,162,142,9,9,1082,955
/recent/ai-teams-and-startups-can-compete-for-3-34m-in-state-grants,363,302,380,272,268,250,39,34,25,22,1148,932
/es/pages/llp-lp,91,88,983,811,12,11,29,28,3,3,1121,935
/pages/sales-tax,154,151,119,118,12,12,694,646,11,11,991,928
/tasks/cosmetology-shop-license,609,481,192,131,63,47,243,155,124,107,1240,855
/funding/sbir-sttr,267,238,144,131,56,54,45,41,513,456,1033,911
/recent/your-construction-firm-may-qualify-for-tuition-free-business-training,429,376,187,142,282,266,32,27,13,13,1055,925
/njeda-board-approves-new-5m-cannabis-grant-program/,715,588,375,210,0,0,67,42,11,4,1274,907
/tasks/food-safety-course,331,262,319,252,106,79,281,192,132,129,1184,863
/netflix-studio-project-approved-for-aspire-tax-credits-by-njeda-board/,214,183,770,630,0,0,62,57,1,1,1104,921
/recent/certify-your-lgbtq-owned-business,288,251,459,383,32,32,203,182,3,3,1051,901
/es/pages/create-a-business-plan,239,200,598,479,73,64,159,124,18,17,1128,899
/contact/,107,95,914,760,0,0,43,43,3,3,1068,899
/njeda-board-approves-program-to-expand-access-to-capital-for-emerging-developers/,104,78,94,75,0,0,36,35,7,6,1077,893
/tasks/food-truck-license,286,215,424,319,72,61,334,196,106,93,1238,800
/nj-zip-vehicles/,799,540,538,301,0,0,89,32,20,11,1445,854
/tasks/streamlined-sales-tax-certificate,675,502,428,302,7,5,82,47,8,7,1214,848
/es/pages/employer-requirements,117,101,711,604,54,50,113,99,8,7,1007,859
/tasks/insurance-policy-home-contractor,357,285,239,184,131,80,417,234,80,74,1236,769
/tasks/business-entity-auth,336,290,246,213,33,30,192,135,199,191,1009,722
/certification/uez,512,397,241,189,133,115,111,88,68,55,1081,827
/es/pages/register-for-taxes,158,125,719,573,28,26,134,110,22,17,1065,833
/es/pages/buy-an-existing-business,115,109,698,599,41,34,92,84,11,10,972,847
/es/start,317,291,327,300,135,128,43,32,14,14,924,839
/notice-of-nj-motion-picture-television-commission-board-meeting-6/,70,65,7,5,0,0,831,772,2,2,911,845
/tasks/waste-permitting,330,280,333,292,70,65,226,193,8,8,981,809
/recent/new-grant-for-employee-training,290,263,202,161,114,105,33,24,14,14,929,811
/goldenseeds/,428,371,364,312,0,0,158,120,5,4,965,802
/njeda-board-designates-new-1888-studios-in-bayonne-as-first-film-lease-partner-facility/,128,115,744,671,0,0,26,25,2,2,905,814
/tasks/search-business-name,291,265,235,222,35,29,141,101,200,194,903,747
/recent/apply-for-the-innovative-entrepreneur-support-program,310,292,68,66,242,234,123,118,10,10,846,805
/es/search-results,264,257,442,413,70,66,70,64,6,6,853,797
/es/pages/choose-a-business-structure,240,214,596,435,44,40,116,76,16,15,1036,791
/starter-kits/home-health-aide,200,166,678,572,14,12,31,24,21,16,948,785
/recent/corporate-transit-fee-now-in-effect,191,178,645,525,45,43,41,32,2,2,934,792
/recent/refresher-sick-leave-and-overtime-laws,188,178,507,462,30,28,53,51,4,4,849,786
